nome,tipo,categoria,regione,provincia,citta,indirizzo,telefono,email,pec,sito_web,facebook,instagram,fonte,verificato,note
Anffas Nazionale,disabilità,federazione nazionale,Lazio,RM,Roma,Via Latina 20 - 00179,063611524,nazionale@anffas.net,nazionale@pec.anffas.net,https://www.anffas.net,,,https://www.anffas.net/it/contatti/anffas-nazionale/,web 2026-08-30,Ombrello famiglie/persone con disabilità intellettive e del neurosviluppo. Directory sezioni locali su anffas.net/it/strutture
FISH ETS,disabilità,federazione nazionale,Lazio,RM,Roma,Via Guidubaldo del Monte 61 - 00197,0678851262,presidenza@fishonlus.it,,https://www.fishonlus.it,,,https://www.fishonlus.it/,web 2026-08-30,Federazione Italiana per il Superamento dell'Handicap. Ha delegazioni regionali (es. LEDHA in Lombardia) da cui scendere ai soci
FAND,disabilità,federazione nazionale,Lazio,RM,Roma,Via Antonio Toscani 58/60 - 00152,0693898000,segreteria@fand.it,fandasid@pec.it,https://www.fand.it,,,https://www.fand.it/sede/,web 2026-08-30,Federazione tra le associazioni nazionali storiche di persone con disabilità (ANMIC UICI ENS UNMS ...)
LEDHA,disabilità,associazione regionale,Lombardia,MI,Milano,Via Livigno 2 - 20158,026570425,info@ledha.it,pec@pec.ledha.it,https://www.ledha.it,,,https://www.ledha.it/page.asp?menu1=2&menu2=9,web 2026-08-30,Delegazione regionale FISH per la Lombardia. Coordinatori territoriali in CO LO MI MB PV VA
UILDM Direzione Nazionale,disabilità,federazione nazionale,Veneto,PD,Padova,Via Vergerio 19 - 35126,0498021001,direzionenazionale@uildm.it,,https://www.uildm.org,,,https://uildm.org/,web 2026-08-30,Unione Italiana Lotta alla Distrofia Muscolare. 63 sezioni locali in tutta Italia
UICI Nazionale,disabilità,federazione nazionale,Lazio,RM,Roma,Via Borgognona 38 - 00187,066998881,,,https://www.uiciechi.it,,,https://www.uiciechi.it/,web 2026-08-30,Unione Italiana dei Ciechi e degli Ipovedenti ETS-APS. 37.000 associati 126 sedi. Numero verde 800 682 682
AISM Sede Nazionale,disabilità,associazione nazionale,Liguria,GE,Genova,Via Operai 40 - 16149,01027131,aism@aism.it,,https://www.aism.it,,,https://www.aism.it/,web 2026-08-30,Associazione Italiana Sclerosi Multipla. 20 coordinamenti regionali e 96 sezioni provinciali
ANMIC Nazionale,disabilità,federazione nazionale,Lazio,RM,Roma,Piazza Bologna 10 - 00162,0644232997,anmicst@inwind.it,,https://www.anmic.it,,,https://www.anmic.it/,web 2026-08-30,Associazione Nazionale Mutilati e Invalidi Civili. Sedi in tutte le province italiane
FISH Lombardia (LEDHA),disabilità,delegazione regionale,Lombardia,MI,Milano,Via Livigno 2 - 20158,026570425,lombardia@fishonlus.it,,https://fishets.it/lombardia/,,,https://fishets.it/lombardia/,web 2026-08-30,Delegazione regionale FISH per la Lombardia coincidente con LEDHA
FISH Piemonte,disabilità,delegazione regionale,Piemonte,TO,Torino,c/o Pericle Farris - Via Foligno 63/bis - 10141,3240433350,fishpiemonte@gmail.com,,https://fishets.it/piemonte/,,,https://fishets.it/piemonte/,web 2026-08-30,Sede operativa: c/o APRI Via Nizza 151 Torino tel 0116648636
