nome,tipo,categoria,regione,provincia,citta,indirizzo,telefono,email,pec,sito_web,facebook,instagram,fonte,verificato,note
UNEBA Nazionale,anziani,federazione nazionale,Lazio,RM,Roma,Via Gioberti 60 - 00185,065943091,info@uneba.it,unebanazionale@pec.it,https://www.uneba.org,,,https://www.uneba.org/contatti/,web 2026-08-30,Unione Nazionale Istituzioni e Iniziative di Assistenza Sociale. Ombrello di RSA/case di riposo no-profit. Comitati regionali su uneba.org/regioni
UNEBA Milano,anziani,comitato regionale,Lombardia,MI,Milano,,0272002018,uneba.milano@tin.it,,https://www.uneba.org,,,https://www.uneba.org/regioni/,web 2026-08-30,Comitato UNEBA area Milano/Lombardia
UNEBA Friuli Venezia Giulia,anziani,comitato regionale,Friuli-Venezia Giulia,TS,Trieste,,040226260,info.fvg@uneba.org,,https://www.uneba.org,,,https://www.uneba.org/regioni/,web 2026-08-30,Comitato UNEBA FVG
UNEBA Liguria,anziani,comitato regionale,Liguria,GE,,,01855906263,info@unebaliguria.it,,https://www.unebaliguria.it,,,https://www.uneba.org/regioni/,web 2026-08-30,Comitato UNEBA Liguria
Auser Nazionale,anziani,associazione nazionale,Lazio,RM,Roma,Via Nizza 154 - 00198,068440771,nazionale@auser.it,,https://www.auser.it,,,https://auser.it/contattaci/,web 2026-08-30,Invecchiamento attivo e volontariato per anziani. Numero verde Filo d'Argento 800-995988. Rete di sedi regionali/locali
UNEBA Abruzzo,anziani,comitato regionale,Abruzzo,,,,,info@uneba.it,,https://www.uneba.org,,,https://www.uneba.org/regioni/,web 2026-08-30,Commissario: Germana Sorge. Contatti tramite sede nazionale
UNEBA Basilicata,anziani,comitato regionale,Basilicata,,,,,info@uneba.it,,https://www.uneba.org,,,https://www.uneba.org/regioni/,web 2026-08-30,Commissario: Pierangelo Pugliese. Contatti tramite sede nazionale
UNEBA Calabria,anziani,comitato regionale,Calabria,CZ,Catanzaro,Via Lucrezia Della Valle 19/39 - 88100,,unebacalabria@gmail.com,,https://www.unebacalabria.com,,,https://www.uneba.org/regioni/,web 2026-08-30,Presidente: Ferdinando Scorza
UNEBA Campania,anziani,comitato regionale,Campania,,,,,info@uneba.it,,https://www.uneba.org,,,https://www.uneba.org/regioni/,web 2026-08-30,Commissario: don Pino Venerito. Sito: unebacampania.it
UNEBA Emilia-Romagna,anziani,comitato regionale,Emilia-Romagna,,,,,fabio.cavicchi@fondazionesantaclelia.it,,https://www.unebaemiliaromagna.it,,,https://www.uneba.org/regioni/,web 2026-08-30,Presidente: Fabio Cavicchi
UNEBA Lazio,anziani,comitato regionale,Lazio,RM,Roma,Via Gioberti 60 - 00185,065943091,info@unebalazio.org,,https://www.unebalazio.org,,,https://www.uneba.org/regioni/,web 2026-08-30,Presidente: Alessandro Baccelli
UNEBA Lombardia,anziani,comitato regionale,Lombardia,MI,Milano,Via Pattari 6 - 20122,0272002018,uneba.milano@tin.it,,https://www.unebalombardia.org,,,https://www.uneba.org/regioni/,web 2026-08-30,Presidente: Luca Degani
UNEBA Marche,anziani,comitato regionale,Marche,PU,Fano,,0721803171,unebamarche@gmail.com,,https://www.unebamarche.it,,,https://www.uneba.org/regioni/,web 2026-08-30,Presidente: Giovanni Di Bari
UNEBA Piemonte,anziani,comitato regionale,Piemonte,TO,Torino,Via San Giuseppe Benedetto Cottolengo 14 - 10152,0115225560,unebapiemonte@gmail.com,,https://www.unebapiemonte.it,,,https://www.uneba.org/regioni/,web 2026-08-30,Presidente: Amedeo Prevete
UNEBA Puglia,anziani,comitato regionale,Puglia,,,,,unebapuglia@gmail.com,,https://www.unebapuglia.it,,,https://www.uneba.org/regioni/,web 2026-08-30,Presidente: Pierangelo Pugliese
UNEBA Sardegna,anziani,comitato regionale,Sardegna,CI,Iglesias,,0781-2761,info.sardegna@uneba.org,,https://www.unebasardegna.it,,,https://www.uneba.org/regioni/,web 2026-08-30,Presidente: Giancarlo Maurandi
UNEBA Sicilia,anziani,comitato regionale,Sicilia,CT,Catania,,0957146459,info.sicilia@uneba.org,,https://www.unebasicilia.it,,,https://www.uneba.org/regioni/,web 2026-08-30,Presidente: Santo Nicosia
UNEBA Toscana,anziani,comitato regionale,Toscana,,,,,,,https://www.uneba-toscana.it,,,https://www.uneba.org/regioni/,web 2026-08-30,Presidente: Andrea Blandi
UNEBA Umbria,anziani,comitato regionale,Umbria,PG,Città della Pieve,,065943091,unebaumbria@gmail.com,,https://www.unebaumbria.it,,,https://www.uneba.org/regioni/,web 2026-08-30,Presidente: Vincenzo Cappannini
UNEBA Veneto,anziani,comitato regionale,Veneto,PD,Padova,Via Romana Aponense 111 - 35142,049680098,info.veneto@uneba.org,,https://www.unebaveneto.org,,,https://www.uneba.org/regioni/,web 2026-08-30,Presidente: Francesco Facci
Auser Abruzzo,anziani,sede regionale,Abruzzo,PE,Pescara,,08545431,presidenza@auserabruzzo.it,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
Auser Basilicata,anziani,sede regionale,Basilicata,PZ,Potenza,,0971301409,segreteria@auserbasilicata.it,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
Auser Bolzano,anziani,sede regionale,Trentino-Alto Adige,BZ,Bolzano,,0471200588,auseraltoadigeaps@auserbz.org,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
Auser Calabria,anziani,sede regionale,Calabria,CZ,Catanzaro,,0961778411,ausercalabria@gmail.com,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
Auser Campania,anziani,sede regionale,Campania,NA,Napoli,,08119478263,reg.campania@auser.it,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
Auser Emilia-Romagna,anziani,sede regionale,Emilia-Romagna,BO,Bologna,,051294774,er_auser@er.cgil.it,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
Auser Friuli-Venezia Giulia,anziani,sede regionale,Friuli-Venezia Giulia,TS,Trieste,,040632040,reg.fvgiulia@auser.it,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
Auser Lazio,anziani,sede regionale,Lazio,RM,Roma,,0680074597,regionale.lazio@auser.it,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
Auser Liguria,anziani,sede regionale,Liguria,GE,Genova,,0102488120,auserliguria@auserliguria.it,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
Auser Lombardia,anziani,sede regionale,Lombardia,MI,Milano,,0226113524,segreteria@auser.lombardia.it,,https://www.auser.it,,,http://www1.auser.it/contattaci/,web 2026-08-30,
