nome,tipo,categoria,regione,provincia,citta,indirizzo,telefono,email,pec,sito_web,facebook,instagram,fonte,verificato,note
ANFFAS Regione Emilia-Romagna ETS APS,associazione regionale,associazione,Emilia-Romagna,BO,Bologna,Via Luigi Rasi 14 - 40127 Bologna,3342262640,info@anffas-er.org,anffas_er@pec.it,https://www.anffas-er.org,,https://www.anffas-er.org,web 2026-08-30,
ANFFAS Bologna APS,associazione,associazione,Emilia-Romagna,BO,Bologna,Via Luigi Rasi 14 - 40127 Bologna,0510971975,presidenza@anffasbo.info,,https://www.anffasbologna.it,https://www.facebook.com/AnffasBologna/,,https://www.anffasbologna.it,web 2026-08-30,
ANFFAS Cesena APS,associazione,associazione,Emilia-Romagna,FC,Cesena,Via Vigne 83 - 47521 Cesena,0547631101,anffascesena@gmail.com,,,,,https://www.anffas-er.org/in-regione/,web 2026-08-30,
ANFFAS Faenza APS,associazione,associazione,Emilia-Romagna,RA,Faenza,Via Galli 16 - 48018 Faenza,054625404,anffasfaenza@tiscali.it,,,,,https://www.anffas-er.org/in-regione/,web 2026-08-30,
ANFFAS Guastalla APS,associazione,associazione,Emilia-Romagna,RE,Guastalla,Via San Giuseppe 9 - 42016 Guastalla,0522830716,anffas.cuoreblu@gmail.com,,,,,https://www.anffas-er.org/in-regione/,web 2026-08-30,
ANFFAS Parma APS,associazione,associazione,Emilia-Romagna,PR,Parma,Via Max Casaburi 15 - 43123 Parma,0521261393,segreteria@anffasparma.it,,,,,https://www.anffas-er.org/in-regione/,web 2026-08-30,
ANFFAS Sassuolo APS,associazione,associazione,Emilia-Romagna,MO,Sassuolo,Via Refice 19 - 41049 Sassuolo,0536811565,anffas.sassuolo@gmail.com,,,,,https://www.anffas-er.org/in-regione/,web 2026-08-30,
ANFFAS Correggio APS,associazione,associazione,Emilia-Romagna,RE,Correggio,,3311080680,anffas.correggio@gmail.com,,,,,https://www.anffas-er.org/in-regione/,web 2026-08-30,
ANFFAS Ferrara APS,associazione,associazione,Emilia-Romagna,FE,Ferrara,Via Canapa 10/12 - 44122 Ferrara,0532681629,info@anffasferrara.net,,,,,https://www.anffas-er.org/in-regione/,web 2026-08-30,
ANFFAS Lugo APS,associazione,associazione,Emilia-Romagna,RA,Lugo,Corso Matteotti 3 - 48022 Lugo,054517875,anffaslugo@libero.it,,,,,https://www.anffas-er.org/in-regione/,web 2026-08-30,
ANFFAS Cento APS,associazione,associazione,Emilia-Romagna,FE,Cento,Via dei Tigli 2/b - 44042 Cento,0516832060,anffascento@gmail.com,,,,,https://www.anffas-er.org/in-regione/,web 2026-08-30,
ANFFAS Forlì APS,associazione,associazione,Emilia-Romagna,FC,Forlì,Via L. Ridolfi 18 - 47122 Forlì,054331192,info@anffasforli.it,,,,,https://www.anffas-er.org/in-regione/,web 2026-08-30,
ANFFAS Modena APS,associazione,associazione,Emilia-Romagna,MO,Modena,Via Canaletto Sud 88 - 41122 Modena,059216977,anffasonlusmodena@anffasmodena.it,,,,,https://www.anffas-er.org/in-regione/,web 2026-08-30,
