nome,tipo,categoria,regione,provincia,citta,indirizzo,telefono,email,pec,sito_web,facebook,instagram,fonte,verificato,note
ANFFAS Sondrio ETS APS,associazione,associazione,Lombardia,Sondrio,Sondrio,Largo Sindelfingen 16,0342 510977,segreteria@anffassondrio.it,segreteria@pec.anffassondrio.it,https://www.anffassondrio.it,https://www.facebook.com/profile.php?id=anffassondrio,,https://www.anffas.net/it/strutture/anffas-sondrio-ets-aps/ + anffassondrio.it/info/,web 2026-08-30,Copre tutta la provincia SO incl. Valtellina e Valchiavenna. Centro autismo: centroautismo@anffassondrio.it
FAD - Federazione Associazioni per Disabili Sondrio,associazione,federazione,Lombardia,Sondrio,Sondrio,"sede c/o CSV Lavops Via Lungo Mallero Diaz 14",0342 232312,v.seletti@alice.it,,,,,https://www.ledha.it/page.asp?menu1=2&menu2=2&ass=482,web 2026-08-30,Presidente tel. 347 3090621. Membro LEDHA
UILDM Sondrio - Unione Italiana Lotta alla Distrofia Muscolare,associazione,associazione,Lombardia,Sondrio,Talamona,Via Gavazzeni 54,3385020285,uildm.sondrio@gmail.com,,,https://sondrio.uildm.org,,,https://sondrio.uildm.org + Google Search,web 2026-08-30,Orari: mar e gio 14.30-16.30 + sab 10-12. Presidente Andrea Perlini
ANMIC Sondrio - Associazione Nazionale Mutilati ed Invalidi Civili,associazione,associazione,Lombardia,Sondrio,Sondrio,Via Delle Prese 7,0342 514387,,,,,,http://www.anmicsondrio.it + Google Search,web 2026-08-30,Fax 0342 517082. Orari: lun-ven 9-12
CDD Righini Vaninetti Sondrio,struttura,centro diurno,Lombardia,Sondrio,Sondrio,Via Lusardi 2,0342 541011,segreteria@rsasondrio.it,,http://www.casadiripososondrio.it,,,https://www.ats-montagna.it + Google Search,web 2026-08-30,Ente gestore: Fondazione Onlus Casa di Riposo Città di Sondrio. Fax 0342 541050. Posti: 30 accr / 30 contratto
CDD Giovanni Bianchini Sondrio,struttura,centro diurno,Lombardia,Sondrio,Sondrio,Via Lusardi 2,0342 541011,segreteria@rsasondrio.it,,http://www.casadiripososondrio.it,,,https://www.ats-montagna.it/strutture/righini-vaninetti-2/,web 2026-08-30,Ente gestore: Fondazione Onlus Casa di Riposo Città di Sondrio. Stessa sede del CDD Righini Vaninetti
RSD Tirano - Residenza Sanitaria per Disabili,struttura,residenza disabili,Lombardia,Sondrio,Tirano,Via Pedrotti 57,0342 707261,rsd@coopsanmichele.com,,https://www.coopsanmichele.com,,,https://www.ats-montagna.it/strutture/rsd-tirano/,web 2026-08-30,Ente gestore: San Michele Società Cooperativa Sociale. Fax 0342 707257. Posti: 40 accr / 37 contratto
CDD San Michele Tirano,struttura,centro diurno,Lombardia,Sondrio,Tirano,Piazza Della Basilica 15,0342 704334,info@coopsanmichele.com,,https://www.coopsanmichele.com,,,https://www.ats-montagna.it/strutture/cdd-san-michele-tirano,web 2026-08-30,Ente gestore: San Michele Società Cooperativa Sociale. Posti: 24 accr / 22 contratto
Casa Serena Sondrio - Comunità Alloggio per Anziani e Fragili,struttura,comunita alloggio,Lombardia,Sondrio,Sondrio,Via Pio Rajna 2,0342 012799,casaserena19@gmail.com,,,,,https://www.ats-montagna.it/strutture/casa-serena-sondrio/,web 2026-08-30,Ente gestore: Liola Società Cooperativa Sociale. Fax 0342 200481
Sondrio CPA - Comunità Protetta ad Alta Assistenza,struttura,comunita protetta,Lombardia,Sondrio,Sondrio,Via Besta 1,0342 521614,,protocollo@pec.ats-montagna.it,,,,https://www.ats-montagna.it/strutture/sondrio-comunita-protetta-ad-alta-assistenza-cpa/,web 2026-08-30,Ente gestore: ASST Valtellina e Alto Lario. Struttura psichiatrica
Chiavenna CRA - Comunità Riabilitativa ad Alta Assistenza,struttura,comunita riabilitativa,Lombardia,Sondrio,Chiavenna,Via della Cereria 4,034367200,,protocollo@pec.ats-montagna.it,,,,https://www.ats-montagna.it/strutture/chiavenna-comunita-riabilitativa-ad-alta-assistenza-cra/,web 2026-08-30,Ente gestore: ASST Valtellina e Alto Lario
