nome,tipo,categoria,regione,provincia,citta,indirizzo,telefono,email,pec,sito_web,facebook,instagram,fonte,verificato,note
ANFFAS Veneto APS - ETS,associazione,federazione regionale,Veneto,Venezia,Mestre,Via Cima d'Asta 8,0416164380,anffas.veneto@gmail.com,,https://www.anffasveneto.org,,,https://www.anffasveneto.org/,web 2026-08-30,Coordinamento regionale 19 associazioni locali
ANFFAS Padova APS,associazione,associazione,Veneto,Padova,Padova,Via Due Palazzi 41,0498901188,sede@anffaspadova.it,anffas.padova@pec.anffaspadova.it,https://anffaspadova.it/,https://www.facebook.com/p/Anffas-Padova-APS-100083003965523/,,https://anffaspadova.it/,web 2026-08-30,Anche Fondazione Patavium ANFFAS Onlus stessa sede; PEC fondazione: fondazione.patavium@pec.anffaspadova.it
ANFFAS Conselve,associazione,associazione,Veneto,Padova,Conselve,Via Palù 63,049538499,anffas.conselve@gmail.com,,,,,https://www.anffas.net/dld/files/Indirizzario-2023.pdf,web 2026-08-30,Tel alternativo 0495384880
ANFFAS Piombino Dese - Alta Padovana,associazione,associazione,Veneto,Padova,Piombino Dese,Via Piave 48,0495746255,anffaspiombinodese@gmail.com,anffasonluspiombinodese@legalmail.it,,,,,web 2026-08-30,
ANFFAS Verona,associazione,associazione,Veneto,Verona,Verona,Piazza Vittorio Veneto 3/a,0458344379,,,https://www.anffasverona.org/,,,https://www.anffasverona.org/,da_verificare,Sito con certificato scaduto al momento del controllo; tel da indirizzario 2023
ANFFAS Vicenza APS,associazione,associazione,Veneto,Vicenza,Lisiera di Bolzano Vicentino,Vicolo Cieco Retrone 6 (sede legale); Via Albereria 3 Lisiera (sede operativa),0444356152,info@anffas.vicenza.it,anffas.vicenza@pec.it,https://anffas.vicenza.it/,https://www.facebook.com/FondazioneFerruccioPoliOnlus,,https://anffas.vicenza.it/,web 2026-08-30,Sede legale Vicenza; sede operativa Lisiera di Bolzano Vicentino (VI)
Fondazione ANFFAS Area Berica ETS (Basso Vicentino),fondazione,associazione,Veneto,Vicenza,Lonigo,Via Fiume 37,0444833855,info@anffaslonigo.it,anffas.lonigo@legalmail.it,https://www.anffaslonigo.it,https://www.facebook.com/anffaslonigo/,,https://www.anffaslonigo.it,web 2026-08-30,Tel comunita alloggio 0444830767; RUNTS 164354
ANFFAS Bassano del Grappa,associazione,associazione,Veneto,Vicenza,Bassano del Grappa,Via Porto di Brenta 7,0424227804,info@anffasbassano.it,,https://www.anffasbassano.it/,,,https://www.anffasbassano.it/,web 2026-08-30,Cell 3771664860
ANFFAS Riviera del Brenta,associazione,associazione,Veneto,Venezia,Oriago di Mira,Via Pellestrina 15,0415631002,info@anffasrivierabrenta.it,anffasrivierabrenta@pec.it,https://www.anffasrivierabrenta.it/,https://www.facebook.com/share/18yz8bG1VT/,https://www.instagram.com/anffasrivieradelbrenta,https://www.anffasrivierabrenta.it/contatti/,web 2026-08-30,Cell 3465706268; orari lun-ven 9-13
ANFFAS Mestre Onlus,associazione,associazione,Veneto,Venezia,Mestre,Via Cima d'Asta 8,0416164380,anffas.mestre@tin.it,,https://www.anffasmestreonlus.org/,https://www.facebook.com/sedeamministrativa/,,https://www.anffasmestreonlus.org/,web 2026-08-30,Email alt anffas.mestre@gmail.com; convenzione Comune Venezia e ULSS3
ANFFAS di Venezia ETS,associazione,associazione,Veneto,Venezia,Venezia,Castello 620/R,0412413923,anffas.venezia@libero.it,,https://anffasvenezia.it/,https://www.facebook.com/AnffasVeneziaOnlus/,,https://anffasvenezia.it/contatti/,web 2026-08-30,CF 94052400275; gestisce comunita alloggio S.Alvise e Palanca e gruppo appartamento S.Elena
ANFFAS Chioggia Onlus,associazione,associazione,Veneto,Venezia,Sottomarina di Chioggia,Via del Boschetto 6/H,041491533,anffas.chioggia@virgilio.it,anffas.chioggia@pec.it,https://www.anffaschioggia.it/,https://www.facebook.com/Anffas-Onlus-Chioggia-968300953232918,,https://www.anffaschioggia.it/,web 2026-08-30,CF 91013880272
ANFFAS San Dona di Piave Onlus,associazione,associazione,Veneto,Venezia,San Dona di Piave,Via Cima 11 n.47,3393101429,anffasonlussandonadipiave@gmail.com,anffassandona@pec.it,https://www.anffassandona.it/,https://www.facebook.com/anffasonlussandonadipiave/,,https://www.anffassandona.it/,web 2026-08-30,CF 93024000270
ANFFAS Belluno APS,associazione,associazione,Veneto,Belluno,Belluno,Via del Piave 5,3290140937,info@anffasbelluno.org,anffasbl@pec.it,https://anffasbelluno.org/,https://www.facebook.com/people/Anffas-Belluno-Aps/100085840276810/,https://www.instagram.com/anffasbellunoaps,https://anffasbelluno.org/contatti/,web 2026-08-30,Tel alternativo 0437 25775 (c/o Comitato d'Intesa); ric mar e ven 9-12 su appuntamento
UILDM Chioggia,associazione,associazione,Veneto,Venezia,Chioggia,Via del Boschetto 6/h,3463055937,uildmchioggia@yahoo.it,,https://uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,Tel alternativo 3463056270
UILDM Padova,associazione,associazione,Veneto,Padova,Padova,c/o Ospedale dei Colli - Via dei Colli 4,049624885,uildm.pd@gmail.com,,https://uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,Tel alternativo 049720220
UILDM Rovigo,associazione,associazione,Veneto,Rovigo,Rovigo,Piazzale Soccorso 4,3338770361,angiolettamasiero@gmail.com,,https://uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,Riceve mar e gio 16-18
UILDM Treviso,associazione,associazione,Veneto,Treviso,Treviso,Via Bressa 8,0422580028,uildmtreviso@gmail.com,,https://uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Venezia,associazione,associazione,Veneto,Venezia,Marghera,Via Orsini 11,041935778,uildmve@uildmve.it,,https://uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,Sede legale S.Croce Fondamenta Tolentini 180/a Venezia
UILDM Verona,associazione,associazione,Veneto,Verona,Verona,Via Aeroporto Berardi 51,0458101650,uildmverona.areasociale@gmail.com,,https://uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Vicenza,associazione,associazione,Veneto,Vicenza,Vicenza,C.so SS. Felice e Fortunato 229,3338445958,uildmvicenza@associazionisanbortolo.it,,https://uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
ANMIC Belluno,associazione,associazione,Veneto,Belluno,Belluno,Via Feltre 20,0437944439,,,https://www.anmicveneto.it,,,https://www.anmicveneto.it/contatti,web 2026-08-30,
ANMIC Padova,associazione,associazione,Veneto,Padova,Padova,Via Rolando da Piazzola 24,0498751993,,,https://www.anmicveneto.it,,,https://www.anmicveneto.it/contatti,web 2026-08-30,
ANMIC Treviso,associazione,associazione,Veneto,Treviso,Treviso,Via Isonzo 10,0422542735,anmic.tv@gmail.com,,https://www.anmicveneto.it,,,https://www.anmicveneto.it/contatti,web 2026-08-30,Sede anche a Montebelluna Via Dino Buzzati 9/4
ANMIC Venezia,associazione,associazione,Veneto,Venezia,Mestre,Corso del Popolo 227,0415315295,anmicve@libero.it,,https://www.anmicveneto.it,,,https://www.anmicveneto.it/contatti,web 2026-08-30,
ANMIC Verona,associazione,associazione,Veneto,Verona,Verona,Via Santa Maria Rocca Maggiore 13b,0458013437,info@anmicverona.org,,https://www.anmicveneto.it,,,https://www.anmicveneto.it/contatti,web 2026-08-30,
ANMIC Vicenza,associazione,associazione,Veneto,Vicenza,Vicenza,Piazzale Giusti 22,0444323766,info@anmicvicenza.org,,https://www.anmicveneto.it,,,https://www.anmicveneto.it/contatti,web 2026-08-30,Sede anche a Bassano del Grappa e Thiene
AISM Padova,associazione,associazione,Veneto,Padova,Padova,Via Giorgio Perlasca 2,0498974142,,,https://www.aism.it,,,https://www.aism.it/dove_italia,web 2026-08-30,Cell 3316848747
AISM Verona,associazione,associazione,Veneto,Verona,Verona,Largo Stazione Vecchia 16 (fraz. Parona),,,,,,,https://www.aism.it/dove_italia,da_verificare,Indirizzo da ricerca web; telefono ed email da verificare su aism.it
AISM Friuli Venezia Giulia - sede regionale,associazione,federazione regionale,Friuli-Venezia Giulia,Pordenone,Cordenons,Via Nogaredo 82,,aismfriuliveneziagiulia@aism.it,,https://www.aism.it,,,https://www.aism.it,web 2026-08-30,
ANFFAS Friuli Venezia Giulia APS ETS,associazione,federazione regionale,Friuli-Venezia Giulia,,,,,anffasfvg@gmail.com,,,,,,web 2026-08-30,Rappresentante regionale Elisa Barazzutti tel 3932585503 email elisabarazzutti13@gmail.com; no indirizzo sede regionale sul sito
ANFFAS Udine,associazione,associazione,Friuli-Venezia Giulia,Udine,Udine,,0432299180,anffasudine68@gmail.com,,,,,,web 2026-08-30,Tel alternativo 3406619476; indirizzo non rilevato dalla fonte
ANFFAS Pordenone,associazione,associazione,Friuli-Venezia Giulia,Pordenone,Pordenone,Via Tiro a Segno 3/A,0434366746,segreteria@anffaspordenone.it,,,,,,web 2026-08-30,Email da indirizzario ANFFAS; sito non trovato
ANFFAS Gorizia,associazione,associazione,Friuli-Venezia Giulia,Gorizia,Gorizia,Via Garzarolli 131,0481522950,anffasgo@msn.com,,,,,,web 2026-08-30,Telefono alternativo 0481 21117 da altra fonte
ANFFAS Alto Friuli,associazione,associazione,Friuli-Venezia Giulia,Udine,,,043341429,info@anffasaltofriuli.it,,https://www.anffasaltofriuli.it/,,,https://malattierare.sanita.fvg.it/it/strutture/associazioni/anffas.html,web 2026-08-30,Operativa dal 1985 in Alto Friuli; citta e indirizzo da verificare su sito
Cooperativa Sociale Trieste Integrazione ANFFAS,cooperativa sociale,associazione,Friuli-Venezia Giulia,Trieste,Trieste,Via C. Cantu 45,04051274,coordinamento_cse@triesteintegrazioneanffas.it,,,,,,web 2026-08-30,Email alternativa segreteria@triesteintegrazioneanffas.it
UILDM Gorizia,associazione,associazione,Friuli-Venezia Giulia,Gorizia,Gorizia,Via Garzarolli 131,3930138531,uildmgo@hotmail.it,,https://uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Udine,associazione,associazione,Friuli-Venezia Giulia,Udine,Udine,Via Diaz 60,0432510261,segreteria@uildmudine.org,,https://uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
UILDM Pordenone,associazione,associazione,Friuli-Venezia Giulia,Pordenone,Fontanafredda,Viale del Parco 1,0434569888,segreteria@uildmpn.it,,https://uildm.org,,,https://uildm.org/sezioni/,web 2026-08-30,
ANMIC Udine,associazione,associazione,Friuli-Venezia Giulia,Udine,Udine,Via Planis 127/A,0432510220,anmic.udine@anmicudine.it,,,,,,web 2026-08-30,Cell Simona 349 4593229
