nome,tipo,categoria,regione,provincia,citta,indirizzo,telefono,email,pec,sito_web,facebook,instagram,fonte,verificato,note
AUSER Veneto APS - sede regionale,associazione,centro anziani,Veneto,Venezia,Venezia Campalto,Piazzale Bernardino Zendrini 7,041900249,presidenza1veneto@auser.veneto.it,,https://www.auser.veneto.it/,,,https://www.auser.veneto.it/regioneveneto/dove-siamo.html,web 2026-08-30,262 sedi 39000 iscritti 4000 volontari in Veneto
AUSER Treviso,associazione,centro anziani,Veneto,Treviso,Treviso,Via Dandolo 8/B,0422409213,presidenza.treviso@auser.treviso.it,,https://www.auser.veneto.it,,,https://www.auser.veneto.it/regioneveneto/dove-siamo.html,web 2026-08-30,
AUSER Venezia,associazione,centro anziani,Veneto,Venezia,Venezia Campalto,Piazzale Zendrini 7,0415420558,presidenza.venezia@auser.ve.it,,https://www.auser.veneto.it,,,https://www.auser.veneto.it/regioneveneto/dove-siamo.html,web 2026-08-30,
AUSER Rovigo,associazione,centro anziani,Veneto,Rovigo,Rovigo,Viale Vittorio Alfieri 4/A,0425412530,presidenza.rovigo@auser.rovigo.it,,https://www.auser.veneto.it,,,https://www.auser.veneto.it/regioneveneto/dove-siamo.html,web 2026-08-30,
AUSER Verona,associazione,centro anziani,Veneto,Verona,Verona,Via Elena Da Persico 44/A,0458207058,provinciale.verona@auser.verona.it,,https://www.auser.veneto.it,,,https://www.auser.veneto.it/regioneveneto/dove-siamo.html,web 2026-08-30,
AUSER Padova,associazione,centro anziani,Veneto,Padova,Padova,Via Monta' 31,0498072433,presidenza@auser.pd.it,,https://www.auser.veneto.it,,,https://www.auser.veneto.it/regioneveneto/dove-siamo.html,web 2026-08-30,
AUSER Vicenza,associazione,centro anziani,Veneto,Vicenza,Vicenza,Viale della Pace 89 (Centro Civico Villa Tacchi),3491034777,presidenza.vicenza@auser.vi.it,,https://www.auser.veneto.it,,,https://www.auser.veneto.it/regioneveneto/dove-siamo.html,web 2026-08-30,
AUSER Belluno,associazione,centro anziani,Veneto,Belluno,Belluno,Piazza G. Mazzini 11,0437944619,presidenza.belluno@auser.bl.it,,https://www.auser.veneto.it,,,https://www.auser.veneto.it/regioneveneto/dove-siamo.html,web 2026-08-30,
UNEBA - Associazione delle Residenze per Anziani Alto Adige (ARPA),federazione,federazione regionale,Trentino-Alto Adige,Bolzano,Bolzano,Via Canonico Michael Gamper 10,0471323635,info@arpa-altoadige.it,,https://www.vds-suedtirol.it,,,https://www.vds-suedtirol.it/it/swh,web 2026-08-30,Anche info@vds-suedtirol.it; fax 0471 323646; 56 enti soci 79 strutture in Alto Adige
Residenza Anni Azzurri Sant'Anna,RSA,RSA,Veneto,Rovigo,Villadose,Via Alcide De Gasperi 1,,,,,,,https://www.lacasadiriposo.it/rsa/Veneto,da_verificare,Struttura gruppo Korian/Anni Azzurri; contatti diretti da verificare
Residenza Le Rose,RSA,RSA,Veneto,Padova,Lozzo Atestino,Via delle Rose 18,,,,,,,https://www.lacasadiriposo.it/rsa/Veneto,da_verificare,Contatti diretti da verificare
